iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0020214	Health facility distance categorization	string	Dwelling environment	Household								4	["<1 km","1 to <2 km","2 to <3 km","3 or more km"]	["dhfctycat"]	
EUPATH_0020215	Market distance	number	Dwelling environment	Household		0.1	9	2.48125	2.25	3.5	1	16		["dmarkt"]	
EUPATH_0020217	Transit to health facility	string	Dwelling environment	Household	Method of transit used to reach nearest health facility							3	["Bicycle","Car/motorcycle","Walking"]	["mthfcty"]	
EUPATH_0020219	One bednet per 2 people	string	Household vector intervention	Household	At least one bednet per two people							2	["No","Yes"]	["ADEQUATENETS"]	
EUPATH_0020220	One long-lasting ITN per 2 people	string	Household vector intervention	Household	At least one LLIN per two people							2	["No","Yes"]	["ADEQUATELLINS"]	
EUPATH_0020221	Acres categorization	string	Socioeconomic factors	Household								4	["None","<=1","1-3",">3"]	["numalandcat"]	
EUPATH_0020224	Asked permission for IRS in last 12 months	string	Household vector intervention	Household								2	["No","Yes"]	["pspray"]	
EUPATH_0020225	Bednet count	integer	Household vector intervention	Household		0	10	3.5	4	4	2	9	["0","1","2","3","4","5","6","7","10"]	["ANYNET"]	
EUPATH_0020226	Bednet count categorization	string	Household vector intervention	Household		1	2	1.75	2	2	1.5	4	["1","2","3 or more","None"]	["ANYNETcat"]	
EUPATH_0020227	Bednets per person count	number	Household vector intervention	Household		0	1.43	0.609625	0.57	0.775	0.43	20		["NETSPERPERSON"]	
EUPATH_0020229	Community health worker has malaria medication	string	Dwelling environment	Household	The community health worker currently has malaria medicines available							2	["No","Not applicable"]	["amchwker"]	
EUPATH_0020230	Community health worker present	string	Dwelling environment	Household	A community health worker (community medicine distributor/CMD, village health team/VHT, community own resource person/CORP) distributes malaria medicines in the village or community							2	["No","Yes"]	["ahwker"]	
EUPATH_0020231	Time since last fumigation	integer	Household vector intervention	Household		46	130	88.1805555555556	85.5	103.5	72.5	47		["tspray"]	
EUPATH_0020232	Household bednets	string	Household vector intervention	Household	Household has bednets							2	["No","Yes"]	["havenets"]	
EUPATH_0020233	Household screening date	date	Household administrative information	Household		2017-09-26	2017-11-01	2017-10-12	2017-10-11	2017-10-17	2017-10-06	34		["screendate"]	
EUPATH_0020234	Long-lasting ITN bednet count categorization	string	Household vector intervention	Household		1	2	1.75	2	2	1.5	4	["1","2","3 or more","None"]	["LLINcat"]	
EUPATH_0020235	Long-lasting ITNs per person count	number	Household vector intervention	Household		0	1.43	0.609625	0.57	0.775	0.43	20		["LLINSPERPERSON"]	
EUPATH_0020237	Meals per day categorization	string	Food security	Household		2	2	2	2			2	["2","3 or more"]	["hhmealscat"]	
EUPATH_0020238	Meat meals per week categorization	string	Food security	Household		1	3	1.27659574468085	1	1	1	5	["1","2","3","4 or more","None"]	["hhnumtcat"]	
EUPATH_0020247	Persons enrolled in study count	integer	Household administrative information	Household	Number of people within the household enrolled in the study	3	8	5.825	6	7	5	6	["3","4","5","6","7","8"]	["ncohort"]	
EUPATH_0020250	Sprayed in the last 12 months categorization	string	Household vector intervention	Household								3	["0-3 months","4-6 months","None"]	["spraycat"]	
EUPATH_0021084	Electricity	string	Assets	Household								2	["No","Yes"]	["electricity"]	
EUPATH_0021085	Household data collection date	date	Household observation details	Household		2017-10-06	2017-11-16	2017-10-22	2017-10-19	2017-11-02	2017-10-13	37		["surveydate"]	
OBI_0400065	Lighting source	string	Dwelling facilities	Household								5	["Electricity","Paraffin - hurricane lamp","Paraffin - wick lamp","Solar","Torch/battery powered lamp"]	["senergy"]	
EUPATH_0020082	Bloodfed other Anopheles species count	integer	Anopheles results	Household repeated measure		0	2	0.00170268500327	0	0	0	3	["0","1","2"]	["fedanoph3","fedanoph2","fedanoph1"]	
EUPATH_0020086	Gravid or semigravid other Anopheles species count	integer	Anopheles results	Household repeated measure		0	2	0.00445317616241	0	0	0	3	["0","1","2"]	["gravidanoph1","gravidanoph2","gravidanoph3"]	
EUPATH_0020178	Collection room number	integer	Arthropod collection process	Household repeated measure		1	4	1.57303224122177	1	2	1	4	["1","2","3","4"]	["roomnumm1","roomnumm3","roomtrapset3","roomtrapset2","roomnumm2","roomtrapset1"]	
EUPATH_0020179	Collection start time	number	Arthropod collection process	Household repeated measure		19	19	19	19			1	["19.000"]	["trapset"]	
EUPATH_0020180	Collection working	string	Arthropod collection process	Household repeated measure								2	["Not working","Working"]	["trapworking1","trapworking2","trapworking3"]	
EUPATH_0020183	Collection end time	number	Arthropod collection process	Household repeated measure		0.83	17.42	12.4766818953139	12.28	12.62	11.98	135		["trapcollected"]	
EUPATH_0020188	Unable to assess other Anopheles species count	integer	Anopheles results	Household repeated measure		0	5	0.00537000654879	0	0	0	5	["0","1","2","4","5"]	["unableassessanoph3","unableassessanoph2","unableassessanoph1"]	
EUPATH_0020197	Unfed other Anopheles species count	integer	Anopheles results	Household repeated measure		0	4	0.02514734774067	0	0	0	5	["0","1","2","3","4"]	["unfedanoph1","unfedanoph2","unfedanoph3"]	
EUPATH_0020210	Culex count	integer	Culex results	Household repeated measure		0	17	0.02527832351015	0	0	0	12		["culex1","culex2","culex3"]	
OBI_0002913	Arthropod collection process		Household	Household repeated measure											
EUPATH_0000135	Female Anopheles count	integer	Anopheles results	Household repeated measure		0	169	2.06679764243615	0	1	0	69		["totalanopheles2","totalanopheles1","totalanopheles3"]	
EUPATH_0000136	Female Anopheles funestus count	integer	Anopheles funestus results	Household repeated measure		0	3	0.00497707924034	0	0	0	4	["0","1","2","3"]	["totalfunestus2","totalfunestus1","totalfunestus3"]	
EUPATH_0000137	Female Anopheles gambiae count	integer	Anopheles gambiae sensu lato results	Household repeated measure		0	169	2.02514734774067	0	1	0	70		["totalgambiae3","totalgambiae2","totalgambiae1"]	
EUPATH_0000192	Bloodfed Anopheles funestus count	integer	Anopheles funestus results	Household repeated measure		0	3	0.00091683038638	0	0	0	3	["0","1","3"]	["fedfunes3","fedfunes2","fedfunes1"]	
EUPATH_0000193	Bloodfed Anopheles gambiae count	integer	Anopheles gambiae sensu lato results	Household repeated measure		0	39	0.14289456450557	0	0	0	17		["fedgamb3","fedgamb1","fedgamb2"]	
EUPATH_0000194	Anopheles dissected for parity count	integer	Anopheles parity	Household repeated measure		0	81	1.5328094302554	0	1	0	51		["discparity3","discparity2","discparity1"]	
EUPATH_0000195	Anopheles nulliparous count	integer	Anopheles parity	Household repeated measure		0	48	0.64086444007859	0	0	0	35		["nulliparous2","nulliparous3","nulliparous1"]	
EUPATH_0000196	Anopheles parous count	integer	Anopheles parity	Household repeated measure		0	39	0.89194499017682	0	1	0	31		["parous2","parous1","parous3"]	
EUPATH_0000197	Gravid Anopheles funestus count	integer	Anopheles funestus results	Household repeated measure		0	2	0.00144073346431	0	0	0	3	["0","1","2"]	["gravidfenes3","gravidfenes1","gravidfenes2"]	
EUPATH_0000198	Gravid Anopheles gambiae count	integer	Anopheles gambiae sensu lato results	Household repeated measure		0	22	0.17773411918795	0	0	0	15		["gravidgambie1","gravidgambie3","gravidgambie2"]	
EUPATH_0000200	Other female Anopheles species count	integer	Anopheles results	Household repeated measure		0	5	0.03667321545514	0	0	0	6	["0","1","2","3","4","5"]	["totalother3","totalother2","totalother1"]	
EUPATH_0000202	Unable to assess Anopheles funestus count	integer	Anopheles funestus results	Household repeated measure		0	1	0.00065487884741	0	0	0	2	["0","1"]	["unableassess2","unableassess1","unableassess3"]	
EUPATH_0000203	Unable to assess Anopheles gambiae count	integer	Anopheles gambiae sensu lato results	Household repeated measure		0	19	0.10687622789784	0	0	0	15		["gunableassess1","gunableassess3","gunableassess2"]	
EUPATH_0000204	Unfed Anopheles funestus count	integer	Anopheles funestus results	Household repeated measure		0	2	0.00196463654224	0	0	0	3	["0","1","2"]	["unfedfunes1","unfedfunes2","unfedfunes3"]	
EUPATH_0000205	Unfed Anopheles gambiae count	integer	Anopheles gambiae sensu lato results	Household repeated measure		0	168	1.59764243614931	0	1	0	61		["unfedgamb2","unfedgamb1","unfedgamb3"]	
EUPATH_0000322	Anopheles funestus results		Anopheles results	Household repeated measure											
EUPATH_0000323	Anopheles gambiae sensu lato results		Anopheles results	Household repeated measure											
EUPATH_0000324	Anopheles parity		Anopheles results	Household repeated measure											
EUPATH_0020003	Collection date	date	Arthropod collection process	Household repeated measure		2017-10-27	2019-10-24	2018-10-29	2018-11-01	2019-04-27	2018-05-04	728		["date"]	
EUPATH_0020262	Anopheles gambiae sensu lato tested by PCR count	integer	Anopheles gambiae sensu lato results	Household repeated measure	A subset of Anopheles gambiae sl were tested for subspecies identification by PCR. This variable indicates the number of Anopheles gambiae sl from all collections done within a household on a given day. Note, this data is ony linked to the first reported collection within a household on a given day, not each collection that potentially contributed to it.	1	10	1.55516431924883	1	2	1	9	["1","2","3","4","5","6","7","8","10"]	["totalforspeciesID"]	
EUPATH_0020263	Anopheles arabiensis count, by PCR	integer	Anopheles gambiae sensu lato results	Household repeated measure	The number of Anopheles gambiae sl that were tested for subspecies identification by PCR and found to be Anopheles arabiensis per household on a given day. Note, this data is ony linked to the first reported collection within a household on a given day, not each collection that potentially contributed to it.	0	10	1.53755868544601	1	2	1	10	["0","1","2","3","4","5","6","7","8","10"]	["arabiensis"]	
EUPATH_0020264	Anopheles gambiae sensu stricto count, by PCR	integer	Anopheles gambiae sensu lato results	Household repeated measure	The number of Anopheles gambiae sl that were tested for subspecies identification by PCR and found to be Anopheles gambiae s.s. per household on a given day. Note, this data is ony linked to the first reported collection within a household on a given day, not each collection that potentially contributed to it.	0	1	0.01760563380282	0	0	0	2	["0","1"]	["gambiaess"]	
EUPATH_0025053	Anopheles results		Arthropod sample	Household repeated measure											
EUPATH_0025056	Culex results		Arthropod sample	Household repeated measure											
EUPATH_0044177	Arthropod sample		Household	Household repeated measure											
